event,track,particle,d1,d2,d3
1850,0,null,0,0,0
1851,0,null,0,0,0
1852,0,null,0,0,0
1853,0,null,0,0,0
1854,1,primary_proton,1,1,1
1855,1,primary_proton,1,1,1
1856,1,primary_proton,1,1,1
1857,8,kaon+,1,1,1
1858,4,secondary_proton,1,1,0
1859,18,pi+,1,1,1
1860,0,null,0,0,0
1861,0,null,0,0,0
1862,0,null,0,0,0
1863,0,null,0,0,0
1864,1,primary_proton,1,1,1
1865,0,null,0,0,0
1866,0,null,0,0,0
1867,7,secondary_proton,1,0,0
1868,0,null,0,0,0
