event,track,particle,d1,d2,d3
1656,3,secondary_proton,1,1,1
1657,11,pi+,1,1,1
1658,10301,pi-,1,1,1
1659,0,null,0,0,0
1660,1345,e-,0,1,0
1661,17,pi-,1,1,0
1662,1,primary_proton,1,1,1
1663,1,primary_proton,1,1,1
1664,11,pi+,1,1,1
1665,1,primary_proton,1,1,1
1666,11,pi+,1,1,1
1667,7,secondary_proton,1,1,1
1668,6,pi+,1,1,1
1669,24,pi-,1,1,1
1670,6324,pi+,1,1,1
1671,1,primary_proton,1,1,1
1672,28,pi-,1,1,1
1673,1,primary_proton,1,1,1
1674,1,primary_proton,1,1,1
1675,14,pi+,1,1,1
1676,16,secondary_proton,1,1,0
1677,1,primary_proton,1,1,1
1678,13,pi+,1,1,1
1679,16,pi-,1,1,1
1750,0,null,0,0,0
1751,3057,pi+,1,1,1
1752,15,pi+,1,1,1
1753,8,secondary_proton,1,1,1
1754,13,pi+,1,1,1
1755,15,secondary_proton,1,1,1
1756,1,primary_proton,1,1,1
1757,0,null,0,0,0
1758,0,null,0,0,0
1759,11,secondary_proton,1,1,1
1760,0,null,0,0,0
1761,7,pi-,1,1,1
1762,11,pi-,1,1,1
1763,13,pi-,1,1,1
1764,0,null,0,0,0
1765,14,pi-,1,1,1
1766,2,secondary_proton,1,1,1
1767,8,pi+,1,1,1
1768,33,pi+,1,1,1
1769,10,pi+,1,1,1
1770,0,null,0,0,0
1771,1,primary_proton,1,1,1
1772,0,null,0,0,0
1773,1270,pi+,1,0,0
1774,1,primary_proton,1,1,1
1775,7,pi-,1,1,1
1776,0,null,0,0,0
1777,15,pi-,1,1,1
1778,4,secondary_proton,1,1,0
1779,0,null,0,0,0
1780,14,pi+,1,1,1
1781,16,pi+,1,1,0
1782,1847,pi+,1,1,0
1783,1,primary_proton,1,1,1
1784,0,null,0,0,0
1785,12,pi+,1,1,0
1786,2299,secondary_proton,1,0,0
1787,1461,secondary_proton,1,1,1
1788,0,null,0,0,0
1789,11,pi+,1,1,1
1790,10,secondary_proton,1,1,1
1791,242,secondary_proton,1,1,1
1792,1,primary_proton,1,1,1
1793,2722,pi+,1,1,0
1794,24,pi+,1,1,1
1795,1,primary_proton,1,1,1
1796,188,pi+,1,1,1
1797,1,primary_proton,1,1,1
1798,0,null,0,0,0
1799,0,null,0,0,0
1800,0,null,0,0,0
1801,0,null,0,0,0
1802,12,kaon+,1,1,1
1803,24,pi-,1,1,1
1804,0,null,0,0,0
1805,0,null,0,0,0
1806,20,pi-,1,1,1
1807,0,null,0,0,0
1808,27,pi+,1,1,1
1809,11,pi-,1,1,1
1810,0,null,0,0,0
1811,9031,pi-,1,0,0
1812,7373,pi-,1,1,0
1813,19,pi+,1,1,1
1814,84,secondary_proton,1,1,1
1815,9,pi-,1,0,0
1816,1,primary_proton,1,1,1
1817,1,primary_proton,1,1,1
1818,19,pi-,1,1,1
1819,2373,pi+,1,1,1
1890,594,secondary_proton,1,1,1
1891,1,primary_proton,1,1,1
1892,1,primary_proton,1,1,1
1893,21,secondary_proton,1,1,0
1894,1,primary_proton,1,1,1
1895,0,null,0,0,0
1896,1,primary_proton,1,1,1
1897,0,null,0,0,0
1898,24,pi-,1,1,1
1899,7,secondary_proton,1,0,0
1900,1,primary_proton,1,1,1
1901,0,null,0,0,0
1902,7029,secondary_proton,1,0,0
1903,0,null,0,0,0
1904,0,null,0,0,0
1905,17017,e+,1,1,1
1906,880,e-,1,1,1
1907,3488,secondary_proton,1,1,1
1908,9,pi+,1,1,1
1909,0,null,0,0,0
1910,0,null,0,0,0
1911,7378,secondary_proton,1,0,0
1912,33,pi-,1,1,1
1914,6051,secondary_proton,1,0,0
1915,5472,e-,1,0,0
1916,11,pi+,1,1,0
1917,15,secondary_proton,1,1,1
1918,22,pi+,1,1,1
1919,4487,kaon+,1,1,1
1920,1,primary_proton,1,1,1
1921,8,pi-,1,1,0
1922,1,primary_proton,1,1,1
1923,0,null,0,0,0
1924,5,pi+,1,0,0
1925,1,primary_proton,1,1,1
1926,1,primary_proton,1,1,1
1927,10,pi+,1,1,1
1928,9,secondary_proton,1,1,1
1929,0,null,0,0,0
1930,11,pi+,1,0,0
1931,3,secondary_proton,1,1,1
1932,19,pi+,1,1,0
1933,1,primary_proton,1,1,1
1934,9,pi-,1,1,1
1935,11,pi-,1,1,1
1936,1,primary_proton,1,1,1
1937,1,primary_proton,1,1,1
1938,23,pi-,1,1,1
1939,0,null,0,0,0
1940,7,secondary_proton,1,1,1
1941,3,secondary_proton,1,1,1
1942,2514,e+,1,1,1
