event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
196,1,proton,1,1,1,1,1,1,1,0
197,1,proton,1,1,1,1,1,1,1,1
198,1,proton,1,1,1,1,1,1,1,1
199,1,proton,1,1,1,1,1,1,1,0
201,1,proton,1,1,1,1,1,1,1,1
202,1,proton,1,1,1,1,1,1,1,1
203,1,proton,1,1,1,1,1,1,1,1
204,1,proton,1,1,1,1,1,1,1,1
205,1,proton,1,1,1,1,1,1,1,0
206,1,proton,1,1,1,1,1,1,1,1
207,1,proton,1,1,1,1,1,1,1,1
208,1,proton,1,1,1,1,1,1,1,1
209,1,proton,1,1,1,1,1,1,1,1
210,1,proton,1,1,1,1,1,1,1,1
211,1,proton,1,1,1,1,1,1,1,1
211,3,e-,0,0,0,0,0,1,1,0
212,1,proton,1,1,1,1,1,1,1,1
213,1,proton,1,1,1,1,1,1,1,1
213,3,e-,0,0,0,1,1,1,1,1
214,1,proton,1,1,1,1,1,1,1,1
214,3,e-,0,0,0,0,0,1,0,0
215,1,proton,1,1,1,1,1,1,1,0
215,6,e-,0,0,0,1,1,1,1,1
216,1,proton,1,1,1,1,1,1,1,1
217,1,proton,1,1,1,1,1,1,1,1
218,1,proton,1,1,1,1,1,1,1,1
219,1,proton,1,1,1,1,1,1,1,1
219,6,e-,0,0,0,0,1,0,0,0
220,1,proton,1,1,1,1,1,1,1,1
221,1,proton,1,1,1,1,1,1,1,0
222,1,proton,1,1,1,1,1,1,1,1
223,1,proton,1,1,1,1,1,1,1,1
224,1,proton,1,1,1,1,1,1,1,1
225,1,proton,1,1,1,1,1,1,1,1
225,2,e-,0,0,0,0,1,0,0,0
226,1,proton,1,1,1,1,1,1,1,1
227,1,proton,1,1,1,1,1,1,1,1
228,1,proton,1,1,1,1,1,1,1,1
229,1,proton,1,1,1,1,1,1,1,0
230,1,proton,1,1,1,1,1,1,1,0
231,1,proton,1,1,1,1,1,1,1,0
232,1,proton,1,1,1,1,1,1,1,1
233,1,proton,1,1,1,1,1,1,1,1
234,1,proton,1,1,1,1,1,1,1,1
234,2,e-,0,0,0,1,1,1,1,1
235,1,proton,1,1,1,1,1,1,1,1
235,2,e-,0,0,0,1,1,0,0,0
235,3,e-,0,0,0,0,0,1,1,0
236,1,proton,1,1,1,1,1,1,1,1
237,1,proton,1,1,1,1,1,1,1,1
237,4,e-,0,0,0,1,1,0,0,0
238,1,proton,1,1,1,1,1,1,1,0
238,5,e-,0,0,0,1,0,0,0,0
239,1,proton,1,1,1,1,1,1,1,1
239,2,e-,0,0,0,0,0,1,0,0
239,3,e-,0,0,0,0,0,0,0,1
240,1,proton,1,1,1,1,1,1,1,1
240,2,e-,0,0,1,0,0,0,0,0
241,1,proton,1,1,1,1,1,1,1,1
242,1,proton,1,1,1,1,1,1,1,1
243,1,proton,1,1,1,1,1,1,1,1
244,1,proton,1,1,1,1,1,1,1,1
245,1,proton,1,1,1,1,1,1,1,1
246,1,proton,1,1,1,1,1,1,1,1
247,1,proton,1,1,1,1,1,1,1,1
248,1,proton,1,1,1,1,1,1,1,1
248,3,e-,0,0,0,0,0,1,1,0
249,1,proton,1,1,1,1,1,1,1,1
250,1,proton,1,1,1,1,1,1,1,1
251,1,proton,1,1,1,1,1,1,1,0
252,1,proton,1,1,1,1,1,1,1,1
253,1,proton,1,1,1,1,1,1,1,1
254,1,proton,1,1,1,1,1,1,1,1
255,1,proton,1,1,1,1,1,1,1,1
255,4,e-,0,0,0,0,0,1,1,0
256,1,proton,1,1,1,1,1,1,1,1
257,1,proton,1,1,1,1,1,1,1,1
257,2,e-,0,0,0,0,0,0,0,1
258,1,proton,1,1,1,1,1,1,1,0
259,1,proton,1,1,1,1,1,1,1,1
259,2,e-,0,1,1,0,0,0,0,0
260,1,proton,1,1,1,1,1,1,1,1
261,1,proton,1,1,1,1,1,1,1,1
262,1,proton,1,1,1,1,1,1,1,0
263,1,proton,1,1,1,1,1,1,1,1
264,1,proton,1,1,1,1,1,1,1,1
